epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,797.402,1.09755,2.97951,1.15311,0.3874,0.27885,0.29065,0.21595,0.92992,2.38024,1.01521,0.00030027,0.00030027,0.00030027
2,1534.49,1.04021,1.89761,1.11816,0.5449,0.38006,0.41906,0.3069,0.9623,1.94171,1.0581,0.000563454,0.000563454,0.000563454
3,2325,1.06607,1.69617,1.13332,0.63726,0.44452,0.49321,0.35496,0.93419,1.60753,1.03476,0.000786643,0.000786643,0.000786643
4,3058.14,1.01164,1.4882,1.09801,0.72038,0.44156,0.51716,0.36901,0.95513,1.63512,1.03885,0.000729018,0.000729018,0.000729018
5,3791.2,0.98564,1.37056,1.09269,0.72503,0.47271,0.54726,0.3994,0.89879,1.34893,1.01757,0.000669024,0.000669024,0.000669024
6,4510.85,0.90396,1.38813,1.032,0.70899,0.50523,0.57472,0.41725,0.88716,1.30481,0.99755,0.00060903,0.00060903,0.00060903
7,5234.7,0.86094,1.20492,1.00825,0.73888,0.53313,0.59621,0.44615,0.82715,1.17604,0.97818,0.000549036,0.000549036,0.000549036
8,5955.97,0.8308,1.08232,0.98709,0.82086,0.5442,0.63318,0.46713,0.81329,1.05495,0.96306,0.000489042,0.000489042,0.000489042
9,6680.32,0.79452,0.99337,0.97375,0.84264,0.53342,0.63825,0.48082,0.79228,0.9881,0.96154,0.000429048,0.000429048,0.000429048
10,7394.94,0.75651,0.92205,0.95749,0.84532,0.56577,0.64799,0.49326,0.76347,0.90605,0.95432,0.000369054,0.000369054,0.000369054
11,8110.19,0.72575,0.86293,0.9443,0.83975,0.59169,0.67403,0.51692,0.7539,0.89273,0.93837,0.00030906,0.00030906,0.00030906
12,8846.88,0.69529,0.79624,0.9273,0.86352,0.58563,0.68035,0.5243,0.70008,0.84628,0.91497,0.000249066,0.000249066,0.000249066
13,10627.4,0.66553,0.74974,0.9113,0.90035,0.59012,0.69501,0.53997,0.68412,0.78285,0.90267,0.000189072,0.000189072,0.000189072
